Description,SalesAmount
REGENCY CAKESTAND 3 TIER,232568.5
WHITE HANGING HEART T-LIGHT HOLDER,208839.72
JUMBO BAG RED RETROSPOT,130100.08
POSTAGE,117570.29
ASSORTED COLOUR BIRD ORNAMENT,109258.97
PARTY BUNTING,103880.23000000001
PAPER CHAIN KIT 50'S CHRISTMAS ,70371.13
CHILLI LIGHTS,63527.5
JUMBO BAG STRAWBERRY,62042.65
JUMBO  BAG BAROQUE BLACK WHITE,53168.340000000004
JUMBO STORAGE BAG SUKI,48255.8
EDWARDIAN PARASOL NATURAL,48153.46
CHOCOLATE HOT WATER BOTTLE,47555.840000000004
PAPER CHAIN KIT VINTAGE CHRISTMAS,47240.020000000004
VINTAGE UNION JACK BUNTING,47032.84
JUMBO SHOPPER VINTAGE RED PAISLEY,45784.63
PLEASE ONE PERSON METAL SIGN,43945.26
JUMBO BAG PINK VINTAGE PAISLEY,43883.88
VICTORIAN GLASS HANGING T-LIGHT,43848.909999999996
HOME BUILDING BLOCK WORD,43837.76
RED HANGING HEART T-LIGHT HOLDER,43703.01
BLACK RECORD COVER FRAME,43208.24
SCOTTIE DOG HOT WATER BOTTLE,41838.450000000004
JUMBO BAG PINK POLKADOT,41394.14
WOODEN FRAME ANTIQUE WHITE ,40870.82
RED TOADSTOOL LED NIGHT LIGHT,40825.71
STRAWBERRY CERAMIC TRINKET BOX,40675.380000000005
ROUND SNACK BOXES SET OF4 WOODLAND ,39659.57
BAKING SET 9 PIECE RETROSPOT ,39656.46
NATURAL SLATE HEART CHALKBOARD ,39622.920000000006
HEART OF WICKER LARGE,38669.18
RED RETROSPOT CAKE STAND,38637.45
Manual,38104.72
WOODEN PICTURE FRAME WHITE FINISH,37679.6
COOK WITH WINE METAL SIGN ,37387.49
LUNCH BAG  BLACK SKULL.,37120.7
WOOD BLACK BOARD ANT WHITE FINISH,36791.73
HEART OF WICKER SMALL,36567.549999999996
EDWARDIAN PARASOL BLACK,36014.22
SPACEBOY LUNCH BOX ,35806.29
SPOTTY BUNTING,35539.25
HOT WATER BOTTLE TEA AND SYMPATHY,34800.47
JUMBO BAG OWLS,34667.62
GIN + TONIC DIET METAL SIGN,34293.380000000005
CREAM HEART CARD HOLDER,34070.01
RABBIT NIGHT LIGHT,34057.32
LUNCH BAG CARS BLUE,33605.93
DOORMAT UNION FLAG,33392.3
COLOUR GLASS. STAR T-LIGHT HOLDER,33349.54
LUNCH BAG RED RETROSPOT,32940.4
JAM MAKING SET WITH JARS,32926.72
LOVE BUILDING BLOCK WORD,32325.160000000003
CREAM SWEETHEART MINI CHEST,31873.32
