ds,y
2009-12-01,42888.69
2009-12-02,48705.99
2009-12-03,42680.32
2009-12-04,34064.41
2009-12-05,9803.05
2009-12-06,24580.72
2009-12-07,33169.63
2009-12-08,41397.54
2009-12-09,31113.6
2009-12-10,37593.340000000004
2009-12-11,27481.88
2009-12-12,0.0
2009-12-13,21711.46
2009-12-14,51398.43
2009-12-15,45954.58
2009-12-16,37174.0
2009-12-17,30345.89
2009-12-18,31680.52
2009-12-19,0.0
2009-12-20,11423.33
2009-12-21,15568.04
2009-12-22,9814.58
2009-12-23,9507.42
2009-12-24,0.0
2009-12-25,0.0
2009-12-26,0.0
2009-12-27,0.0
2009-12-28,0.0
2009-12-29,0.0
2009-12-30,0.0
2009-12-31,0.0
2010-01-01,0.0
2010-01-02,0.0
2010-01-03,0.0
2010-01-04,13450.54
2010-01-05,19136.14
2010-01-06,8740.69
2010-01-07,58247.83
2010-01-08,20165.8
2010-01-09,0.0
2010-01-10,17728.08
2010-01-11,17067.73
2010-01-12,34055.13
2010-01-13,12409.99
2010-01-14,23843.47
2010-01-15,13507.54
2010-01-16,0.0
2010-01-17,17548.29
2010-01-18,12132.69
2010-01-19,22011.471
2010-01-20,13366.46
2010-01-21,26460.760000000002
2010-01-22,26956.59
2010-01-23,0.0
2010-01-24,15691.72
2010-01-25,18375.19
2010-01-26,37102.82
2010-01-27,23758.02
2010-01-28,18949.43
2010-01-29,16442.391
2010-01-30,0.0
2010-01-31,18366.19
2010-02-01,16654.131
2010-02-02,19715.71
2010-02-03,17265.551
2010-02-04,22661.8
2010-02-05,18300.68
2010-02-06,0.0
2010-02-07,17075.3
2010-02-08,13047.56
2010-02-09,18445.98
2010-02-10,6123.39
2010-02-11,15096.0
2010-02-12,9742.16
2010-02-13,0.0
2010-02-14,17901.06
2010-02-15,32693.911
2010-02-16,25728.260000000002
2010-02-17,23721.93
2010-02-18,33530.29
2010-02-19,12549.84
2010-02-20,0.0
2010-02-21,11477.911
2010-02-22,23581.79
2010-02-23,20046.28
2010-02-24,30413.861
2010-02-25,44631.31
2010-02-26,12799.391
2010-02-27,0.0
2010-02-28,16917.02
2010-03-01,23982.670000000002
2010-03-02,21707.53
2010-03-03,31906.24
2010-03-04,30037.15
2010-03-05,25509.64
2010-03-06,0.0
2010-03-07,19230.27
2010-03-08,25587.28
2010-03-09,19701.84
2010-03-10,23000.19
2010-03-11,21633.64
2010-03-12,18102.25
2010-03-13,0.0
2010-03-14,9032.7
2010-03-15,19639.431
2010-03-16,21152.84
2010-03-17,24505.08
2010-03-18,32182.29
2010-03-19,21480.8
2010-03-20,0.0
2010-03-21,19204.18
2010-03-22,20429.89
2010-03-23,20961.04
2010-03-24,24461.76
2010-03-25,30658.41
2010-03-26,27311.74
2010-03-27,0.0
2010-03-28,22562.62
2010-03-29,21206.48
2010-03-30,31302.91
2010-03-31,24695.87
2010-04-01,28701.81
2010-04-02,0.0
2010-04-03,0.0
2010-04-04,0.0
2010-04-05,0.0
2010-04-06,17982.48
2010-04-07,32195.350000000002
2010-04-08,38986.28
2010-04-09,14707.33
2010-04-10,0.0
2010-04-11,19967.32
2010-04-12,26011.031
2010-04-13,25795.32
2010-04-14,27203.98
2010-04-15,19592.19
2010-04-16,18574.8
2010-04-17,0.0
2010-04-18,24096.88
2010-04-19,24620.04
2010-04-20,21323.69
2010-04-21,22636.23
2010-04-22,35766.15
2010-04-23,15124.24
2010-04-24,0.0
2010-04-25,16774.12
2010-04-26,29918.53
2010-04-27,41840.3
2010-04-28,31291.74
2010-04-29,29714.021
2010-04-30,21643.66
2010-05-01,0.0
2010-05-02,12367.83
2010-05-03,0.0
2010-05-04,18092.58
2010-05-05,23642.83
2010-05-06,51788.06
2010-05-07,29440.41
2010-05-08,0.0
2010-05-09,23143.29
2010-05-10,26539.18
2010-05-11,25259.07
2010-05-12,29794.61
2010-05-13,37808.8
2010-05-14,16053.19
2010-05-15,0.0
