,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,SalesAmount
count,804714,804714,804714,804714.0,804714,804714.0,804714.0,804714,804714.0
unique,36771,4627,5278,,,,,41,
top,576339,85123A,WHITE HANGING HEART T-LIGHT HOLDER,,,,,United Kingdom,
freq,541,5164,5157,,,,,724535,
mean,,,,12.314581329515828,2011-01-02 10:20:47.525108736,3.040632420959497,15330.820930168979,,20.019100535096946
min,,,,1.0,2009-12-01 07:45:00,0.001,12346.0,,0.001
25%,,,,2.0,2010-07-07 12:08:00,1.25,13980.0,,4.949999999999999
50%,,,,5.0,2010-12-03 15:10:00,1.95,15270.0,,11.8
75%,,,,12.0,2011-07-28 13:02:00,3.75,16802.0,,19.5
max,,,,7128.0,2011-12-09 12:50:00,818.19,18287.0,,840.0
std,,,,49.46362848544237,,6.615148204744747,1696.2179905919922,,40.47514185495997
