Description,SalesAmount
REGENCY CAKESTAND 3 TIER,232568.5
WHITE HANGING HEART T-LIGHT HOLDER,208839.72
JUMBO BAG RED RETROSPOT,130100.08
POSTAGE,117570.29
ASSORTED COLOUR BIRD ORNAMENT,109258.97
PARTY BUNTING,103880.23000000001
PAPER CHAIN KIT 50'S CHRISTMAS ,70371.13
CHILLI LIGHTS,63527.5
JUMBO BAG STRAWBERRY,62042.65
JUMBO  BAG BAROQUE BLACK WHITE,53168.340000000004
JUMBO STORAGE BAG SUKI,48255.8
EDWARDIAN PARASOL NATURAL,48153.46
CHOCOLATE HOT WATER BOTTLE,47555.840000000004
PAPER CHAIN KIT VINTAGE CHRISTMAS,47240.020000000004
VINTAGE UNION JACK BUNTING,47032.84
JUMBO SHOPPER VINTAGE RED PAISLEY,45784.63
PLEASE ONE PERSON METAL SIGN,43945.26
JUMBO BAG PINK VINTAGE PAISLEY,43883.88
VICTORIAN GLASS HANGING T-LIGHT,43848.909999999996
HOME BUILDING BLOCK WORD,43837.76
