ds,Description,share,yhat_lstm_category
2011-12-16 12:50:00,REGENCY CAKESTAND 3 TIER,0.014436595037364159,2213.7189871910905
2011-12-16 12:50:00,WHITE HANGING HEART T-LIGHT HOLDER,0.012963640670841152,1987.8549908679418
2011-12-16 12:50:00,JUMBO BAG RED RETROSPOT,0.008075909546171042,1238.3664053002872
2011-12-16 12:50:00,POSTAGE,0.007298127928569281,1119.1007522625066
2011-12-16 12:50:00,ASSORTED COLOUR BIRD ORNAMENT,0.006782206120302274,1039.9888910576528
2011-12-23 12:50:00,REGENCY CAKESTAND 3 TIER,0.014436595037364159,2146.7510063897203
2011-12-23 12:50:00,WHITE HANGING HEART T-LIGHT HOLDER,0.012963640670841152,1927.719700149192
2011-12-23 12:50:00,JUMBO BAG RED RETROSPOT,0.008075909546171042,1200.9041537068995
2011-12-23 12:50:00,POSTAGE,0.007298127928569281,1085.246447300607
2011-12-23 12:50:00,ASSORTED COLOUR BIRD ORNAMENT,0.006782206120302274,1008.52782644513
2011-12-30 12:50:00,REGENCY CAKESTAND 3 TIER,0.014436595037364159,2049.7037031126088
2011-12-30 12:50:00,WHITE HANGING HEART T-LIGHT HOLDER,0.012963640670841152,1840.574056422088
2011-12-30 12:50:00,JUMBO BAG RED RETROSPOT,0.008075909546171042,1146.6153660158045
2011-12-30 12:50:00,POSTAGE,0.007298127928569281,1036.1861506997866
2011-12-30 12:50:00,ASSORTED COLOUR BIRD ORNAMENT,0.006782206120302274,962.9357174650455
2012-01-06 12:50:00,REGENCY CAKESTAND 3 TIER,0.014436595037364159,2009.7445614799697
2012-01-06 12:50:00,WHITE HANGING HEART T-LIGHT HOLDER,0.012963640670841152,1804.6919143865127
2012-01-06 12:50:00,JUMBO BAG RED RETROSPOT,0.008075909546171042,1124.262005508523
2012-01-06 12:50:00,POSTAGE,0.007298127928569281,1015.9856167930002
2012-01-06 12:50:00,ASSORTED COLOUR BIRD ORNAMENT,0.006782206120302274,944.1632067558726
