ds,y
2009-12-06,202723.18
2009-12-13,192467.45
2009-12-20,207976.75
2009-12-27,34890.04
2010-01-03,0.0
2010-01-10,137469.08
2010-01-17,118432.15
2010-01-24,116619.691
2010-01-31,132994.041
2010-02-07,111673.172
2010-02-14,80356.15
2010-02-21,139702.142
2010-02-28,148389.652
2010-03-07,152373.5
2010-03-14,117057.9
2010-03-21,138164.621
2010-03-28,146385.46
2010-04-04,105907.07
2010-04-11,123838.76
2010-04-18,141274.201
2010-04-25,136244.47
2010-05-02,166776.081
2010-05-09,146107.17
2010-05-16,153933.74
2010-05-23,127093.23
2010-05-30,134942.24
2010-06-06,90891.2
2010-06-13,167906.48
2010-06-20,126342.58
2010-06-27,103405.68
2010-07-04,166275.74
2010-07-11,119004.41
2010-07-18,116401.97
2010-07-25,129529.66
2010-08-01,115970.57
2010-08-08,114171.51
2010-08-15,132789.37
2010-08-22,154148.5
2010-08-29,134490.98
2010-09-05,112745.76
2010-09-12,117169.87
2010-09-19,148981.481
2010-09-26,213499.19
2010-10-03,245492.3
2010-10-10,224712.16
2010-10-17,260930.52
2010-10-24,211532.29
2010-10-31,182295.14
2010-11-07,234265.99
2010-11-14,251586.261
2010-11-21,259146.431
2010-11-28,240680.5
2010-12-05,395002.51
2010-12-12,305957.43
2010-12-19,155646.13
2010-12-26,46109.11
2011-01-02,0.0
2011-01-09,110824.87
2011-01-16,110851.6
2011-01-23,98574.38
2011-01-30,105288.77
2011-02-06,104468.03
2011-02-13,76026.82
2011-02-20,124931.04
2011-02-27,126189.04
2011-03-06,112264.32
2011-03-13,107805.66
2011-03-20,131348.82
2011-03-27,115564.75
2011-04-03,139831.69
2011-04-10,105844.82
2011-04-17,132205.021
2011-04-24,93583.92
2011-05-01,70914.06
2011-05-08,123186.43000000001
2011-05-15,175427.75
2011-05-22,189355.92
2011-05-29,122123.5
2011-06-05,99918.86
2011-06-12,127561.56
2011-06-19,157238.26
2011-06-26,112818.82
2011-07-03,100170.84
2011-07-10,114537.74
2011-07-17,115765.88
2011-07-24,165485.81
2011-07-31,139916.021
2011-08-07,144477.55
2011-08-14,138848.61000000002
2011-08-21,152903.11000000002
2011-08-28,141994.86000000002
2011-09-04,109509.02
2011-09-11,166116.06
2011-09-18,181028.88
2011-09-25,242876.641
2011-10-02,187949.851
2011-10-09,259138.99
2011-10-16,197673.52
2011-10-23,225943.42
2011-10-30,209568.41
2011-11-06,241609.89
2011-11-13,257782.62
2011-11-20,270172.56
2011-11-27,240929.42
2011-12-04,237304.16
2011-12-11,202924.23
