Country,SalesAmount
United Kingdom,6421709.924
Netherlands,271230.18
EIRE,248174.56
Germany,227991.14
France,197933.15
Australia,126565.91
Switzerland,56443.95
Spain,54006.31
Belgium,41196.34
Sweden,37190.33
Norway,36165.44
Portugal,30955.93
Japan,28251.97
Finland,22546.08
Channel Islands,20450.44
Denmark,18955.34
Italy,17483.24
Cyprus,13590.38
Austria,10198.68
Singapore,9522.29
Poland,7334.65
Israel,7221.69
Greece,4760.52
Iceland,4310.0
Canada,3666.38
USA,3580.39
Malta,2725.59
Unspecified,2667.07
United Arab Emirates,1902.28
Lebanon,1693.88
Lithuania,1661.06
European Community,1300.25
Brazil,1143.6
RSA,1002.3100000000001
Czech Republic,826.74
Bahrain,548.4
Saudi Arabia,145.92
