ds,y
2010-12-01,43616.49
2010-12-02,43252.53
2010-12-03,22607.71
2010-12-04,0.0
2010-12-05,31771.6
2010-12-06,28262.440000000002
2010-12-07,28955.37
2010-12-08,39248.82
2010-12-09,32523.260000000002
2010-12-10,30671.88
2010-12-11,0.0
2010-12-12,17305.77
2010-12-13,27642.68
2010-12-14,28134.3
2010-12-15,28533.32
2010-12-16,43871.88
2010-12-17,20046.56
2010-12-18,0.0
2010-12-19,7417.39
2010-12-20,19621.96
2010-12-21,15951.66
2010-12-22,4886.52
2010-12-23,5648.97
2010-12-24,0.0
2010-12-25,0.0
2010-12-26,0.0
2010-12-27,0.0
2010-12-28,0.0
2010-12-29,0.0
2010-12-30,0.0
2010-12-31,0.0
2011-01-01,0.0
2011-01-02,0.0
2011-01-03,0.0
2011-01-04,12125.460000000001
2011-01-05,25783.23
2011-01-06,33340.19
2011-01-07,23797.79
2011-01-08,0.0
2011-01-09,15778.2
2011-01-10,15346.83
2011-01-11,20382.24
2011-01-12,17153.94
2011-01-13,15171.31
2011-01-14,35555.22
2011-01-15,0.0
2011-01-16,7242.06
2011-01-17,16597.35
2011-01-18,10405.51
2011-01-19,21646.78
2011-01-20,15244.73
2011-01-21,24279.76
2011-01-22,0.0
2011-01-23,10400.25
2011-01-24,17632.37
2011-01-25,24119.3
2011-01-26,17490.82
2011-01-27,22157.03
2011-01-28,17273.5
2011-01-29,0.0
2011-01-30,6615.75
2011-01-31,18818.08
2011-02-01,26376.5
2011-02-02,17145.23
2011-02-03,20556.8
2011-02-04,18114.31
2011-02-05,0.0
2011-02-06,3457.11
2011-02-07,13682.41
2011-02-08,14168.03
2011-02-09,11920.78
2011-02-10,14198.51
2011-02-11,16343.460000000001
2011-02-12,0.0
2011-02-13,5713.63
2011-02-14,21884.63
2011-02-15,37784.65
2011-02-16,23499.22
2011-02-17,17674.79
2011-02-18,14463.06
2011-02-19,0.0
2011-02-20,9624.69
2011-02-21,32801.73
2011-02-22,25957.56
2011-02-23,19348.07
2011-02-24,21472.89
2011-02-25,17082.29
2011-02-26,0.0
2011-02-27,9526.5
2011-02-28,15107.02
2011-03-01,22407.87
2011-03-02,16205.69
2011-03-03,30385.05
2011-03-04,17322.47
2011-03-05,0.0
2011-03-06,9997.42
2011-03-07,20285.68
2011-03-08,22230.61
2011-03-09,19187.87
2011-03-10,24431.72
2011-03-11,17521.66
2011-03-12,0.0
2011-03-13,4148.12
2011-03-14,26009.25
2011-03-15,14936.43
2011-03-16,21820.66
2011-03-17,25098.94
2011-03-18,23398.74
2011-03-19,0.0
2011-03-20,20084.8
2011-03-21,16051.05
2011-03-22,19064.29
2011-03-23,21578.8
2011-03-24,27856.78
2011-03-25,21789.43
2011-03-26,0.0
2011-03-27,9224.4
2011-03-28,18887.66
2011-03-29,35078.52
2011-03-30,29587.420000000002
2011-03-31,25688.61
2011-04-01,23670.98
2011-04-02,0.0
2011-04-03,6918.5
2011-04-04,23328.83
