ds,y
2010-12-05,141248.33
2010-12-12,176967.54
2010-12-19,155646.13
2010-12-26,46109.11
2011-01-02,0.0
2011-01-09,110824.87
2011-01-16,110851.6
2011-01-23,98574.38
2011-01-30,105288.77
2011-02-06,104468.03
2011-02-13,76026.82
2011-02-20,124931.04
2011-02-27,126189.04
2011-03-06,111425.52
2011-03-13,107805.66
2011-03-20,131348.82
2011-03-27,115564.75
2011-04-03,139831.69
2011-04-10,105844.82
2011-04-17,132205.021
2011-04-24,93583.92
2011-05-01,70914.06
2011-05-08,123186.43000000001
2011-05-15,175427.75
2011-05-22,189355.92
2011-05-29,122123.5
2011-06-05,99918.86
2011-06-12,127561.56
2011-06-19,157238.26
2011-06-26,112818.82
2011-07-03,100170.84
2011-07-10,113698.94
2011-07-17,115765.88
2011-07-24,165485.81
2011-07-31,139916.021
2011-08-07,144477.55
2011-08-14,138848.61000000002
2011-08-21,152903.11000000002
2011-08-28,141994.86000000002
2011-09-04,109509.02
2011-09-11,166116.06
2011-09-18,181028.88
2011-09-25,242876.641
2011-10-02,187949.851
2011-10-09,259138.99
2011-10-16,197673.52
2011-10-23,225943.42
2011-10-30,209568.41
2011-11-06,241609.89
2011-11-13,257782.62
2011-11-20,270172.56
2011-11-27,240929.42
2011-12-04,237304.16
2011-12-11,202906.23
